Final Publication Year	Count	Country	Field
1923	3788	USA	All
1922	3290	USA	All
1921	2862	USA	All
1920	2642	USA	All
1919	2394	USA	All
1918	1944	USA	All
1917	2285	USA	All
1916	2157	USA	All
1915	2005	USA	All
1914	1652	USA	All
1913	1732	USA	All
1912	1712	USA	All
1911	1598	USA	All
1910	1448	USA	All
1909	1339	USA	All
1908	1380	USA	All
1907	1292	USA	All
1906	1147	USA	All
1905	945	USA	All
1904	966	USA	All
1903	888	USA	All
1902	1078	USA	All
1901	1012	USA	All
1900	1090	USA	All
1899	1	USA	All
2026	3	Ukraine	Evolution
2025	358	Ukraine	Evolution
2024	551	Ukraine	Evolution
2023	475	Ukraine	Evolution
2022	503	Ukraine	Evolution
2021	498	Ukraine	Evolution
2020	516	Ukraine	Evolution
2019	451	Ukraine	Evolution
2018	323	Ukraine	Evolution
2017	332	Ukraine	Evolution
2016	276	Ukraine	Evolution
2015	228	Ukraine	Evolution
2014	262	Ukraine	Evolution
2013	237	Ukraine	Evolution
2012	218	Ukraine	Evolution
2011	221	Ukraine	Evolution
2010	222	Ukraine	Evolution
2009	217	Ukraine	Evolution
2008	244	Ukraine	Evolution
2007	190	Ukraine	Evolution
2006	174	Ukraine	Evolution
2005	151	Ukraine	Evolution
2004	160	Ukraine	Evolution
2003	153	Ukraine	Evolution
2002	149	Ukraine	Evolution
2001	141	Ukraine	Evolution
2000	125	Ukraine	Evolution
1999	137	Ukraine	Evolution
1998	126	Ukraine	Evolution
1997	113	Ukraine	Evolution
1996	110	Ukraine	Evolution
1995	83	Ukraine	Evolution
1994	78	Ukraine	Evolution
1993	76	Ukraine	Evolution
1992	66	Ukraine	Evolution
1991	53	Ukraine	Evolution
1990	29	Ukraine	Evolution
1989	30	Ukraine	Evolution
1988	16	Ukraine	Evolution
1987	22	Ukraine	Evolution
1986	17	Ukraine	Evolution
1985	17	Ukraine	Evolution
1984	2	Ukraine	Evolution
1983	3	Ukraine	Evolution
1982	1	Ukraine	Evolution
1981	2	Ukraine	Evolution
1980	1	Ukraine	Evolution
1979	1	Ukraine	Evolution
1978	1	Ukraine	Evolution
1973	1	Ukraine	Evolution
2026	38	Ukraine	All
2025	7864	Ukraine	All
2024	13435	Ukraine	All
2023	13503	Ukraine	All
2022	14487	Ukraine	All
2021	14932	Ukraine	All
2020	15475	Ukraine	All
2019	14074	Ukraine	All
2018	8345	Ukraine	All
2017	8442	Ukraine	All
2016	7694	Ukraine	All
2015	7056	Ukraine	All
2014	7403	Ukraine	All
2013	6853	Ukraine	All
2012	6720	Ukraine	All
2011	6647	Ukraine	All
2010	6077	Ukraine	All
2009	6362	Ukraine	All
2008	6656	Ukraine	All
2007	6141	Ukraine	All
2006	5869	Ukraine	All
2005	5465	Ukraine	All
2004	5519	Ukraine	All
2003	5040	Ukraine	All
2002	5314	Ukraine	All
2001	5154	Ukraine	All
2000	5237	Ukraine	All
1999	5200	Ukraine	All
1998	5554	Ukraine	All
1997	4989	Ukraine	All
1996	4980	Ukraine	All
1995	4715	Ukraine	All
1994	4603	Ukraine	All
1993	4109	Ukraine	All
1992	5112	Ukraine	All
1991	5745	Ukraine	All
1990	6993	Ukraine	All
1989	6901	Ukraine	All
1988	6496	Ukraine	All
1987	6402	Ukraine	All
1986	6382	Ukraine	All
1985	6401	Ukraine	All
1984	2255	Ukraine	All
1983	351	Ukraine	All
1982	392	Ukraine	All
1981	295	Ukraine	All
1980	219	Ukraine	All
1979	181	Ukraine	All
1978	285	Ukraine	All
1977	261	Ukraine	All
1976	168	Ukraine	All
1975	81	Ukraine	All
1974	90	Ukraine	All
1973	68	Ukraine	All
1972	25	Ukraine	All
1971	3	Ukraine	All
1970	4	Ukraine	All
1968	1	Ukraine	All
1966	1	Ukraine	All
1943	1	Ukraine	All
1942	3	Ukraine	All
1941	27	Ukraine	All
1940	18	Ukraine	All
1939	17	Ukraine	All
1938	5	Ukraine	All
1937	8	Ukraine	All
1936	13	Ukraine	All
1935	7	Ukraine	All
1934	3	Ukraine	All
1933	1	Ukraine	All
1932	1	Ukraine	All
1931	4	Ukraine	All
1930	5	Ukraine	All
1929	7	Ukraine	All
1928	6	Ukraine	All
1927	7	Ukraine	All
1926	3	Ukraine	All
1925	5	Ukraine	All
1923	3	Ukraine	All
1922	1	Ukraine	All
1919	2	Ukraine	All
1917	1	Ukraine	All
1911	1	Ukraine	All
1905	4	Ukraine	All
1904	1	Ukraine	All
1900	1	Ukraine	All
2026	18	Poland	Evolution
2025	1515	Poland	Evolution
2024	2033	Poland	Evolution
2023	1930	Poland	Evolution
2022	1997	Poland	Evolution
2021	1953	Poland	Evolution
2020	1842	Poland	Evolution
2019	1656	Poland	Evolution
2018	1524	Poland	Evolution
2017	1417	Poland	Evolution
2016	1328	Poland	Evolution
2015	1196	Poland	Evolution
2014	1135	Poland	Evolution
2013	976	Poland	Evolution
2012	919	Poland	Evolution
2011	845	Poland	Evolution
2010	807	Poland	Evolution
2009	750	Poland	Evolution
2008	644	Poland	Evolution
2007	609	Poland	Evolution
2006	636	Poland	Evolution
2005	526	Poland	Evolution
2004	495	Poland	Evolution
2003	489	Poland	Evolution
2002	367	Poland	Evolution
2001	378	Poland	Evolution
2000	316	Poland	Evolution
1999	339	Poland	Evolution
1998	243	Poland	Evolution
1997	229	Poland	Evolution
1996	228	Poland	Evolution
1995	168	Poland	Evolution
1994	167	Poland	Evolution
1993	155	Poland	Evolution
1992	123	Poland	Evolution
1991	113	Poland	Evolution
1990	39	Poland	Evolution
1989	28	Poland	Evolution
1988	22	Poland	Evolution
1987	28	Poland	Evolution
1986	18	Poland	Evolution
1985	17	Poland	Evolution
1984	11	Poland	Evolution
1983	13	Poland	Evolution
1982	14	Poland	Evolution
1981	16	Poland	Evolution
1980	23	Poland	Evolution
1979	12	Poland	Evolution
1978	9	Poland	Evolution
1977	10	Poland	Evolution
1976	11	Poland	Evolution
1975	12	Poland	Evolution
1974	4	Poland	Evolution
1973	3	Poland	Evolution
1972	1	Poland	Evolution
2026	292	Poland	All
2025	38474	Poland	All
2024	55813	Poland	All
2023	52732	Poland	All
2022	55651	Poland	All
2021	58336	Poland	All
2020	55239	Poland	All
2019	53700	Poland	All
2018	47015	Poland	All
2017	44386	Poland	All
2016	43476	Poland	All
2015	39551	Poland	All
2014	36378	Poland	All
2013	33146	Poland	All
2012	31492	Poland	All
2011	28848	Poland	All
2010	28416	Poland	All
2009	26667	Poland	All
2008	25812	Poland	All
2007	23876	Poland	All
2006	21102	Poland	All
2005	18970	Poland	All
2004	18232	Poland	All
2003	16047	Poland	All
2002	14542	Poland	All
2001	13873	Poland	All
2000	13024	Poland	All
1999	11620	Poland	All
1998	11210	Poland	All
1997	10529	Poland	All
1996	9920	Poland	All
1995	9602	Poland	All
1994	8081	Poland	All
1993	7075	Poland	All
1992	6362	Poland	All
1991	6329	Poland	All
1990	6231	Poland	All
1989	6331	Poland	All
1988	6470	Poland	All
1987	6048	Poland	All
1986	5868	Poland	All
1985	5666	Poland	All
1984	5683	Poland	All
1983	5371	Poland	All
1982	4553	Poland	All
1981	5650	Poland	All
1980	5488	Poland	All
1979	5339	Poland	All
1978	5474	Poland	All
1977	5069	Poland	All
1976	4139	Poland	All
1975	3892	Poland	All
1974	3356	Poland	All
1973	3008	Poland	All
1972	695	Poland	All
1971	6	Poland	All
1970	20	Poland	All
1969	7	Poland	All
1968	11	Poland	All
1967	9	Poland	All
1966	1	Poland	All
1965	2	Poland	All
1960	1	Poland	All
1946	3	Poland	All
1944	2	Poland	All
1943	1	Poland	All
1942	3	Poland	All
1941	3	Poland	All
1940	13	Poland	All
1939	21	Poland	All
1938	24	Poland	All
1937	26	Poland	All
1936	20	Poland	All
1935	26	Poland	All
1934	19	Poland	All
1933	9	Poland	All
1932	15	Poland	All
1931	3	Poland	All
1930	8	Poland	All
1929	8	Poland	All
1928	14	Poland	All
1927	8	Poland	All
1926	18	Poland	All
1925	7	Poland	All
1924	10	Poland	All
1923	3	Poland	All
1922	5	Poland	All
1920	4	Poland	All
1919	1	Poland	All
1917	1	Poland	All
1914	1	Poland	All
1912	1	Poland	All
1909	1	Poland	All
1908	1	Poland	All
1907	1	Poland	All
1906	1	Poland	All
1905	1	Poland	All
1903	1	Poland	All
1902	1	Poland	All
2026	35	Japan	Evolution
2025	3867	Japan	Evolution
2024	4808	Japan	Evolution
2023	4563	Japan	Evolution
2022	4726	Japan	Evolution
2021	4800	Japan	Evolution
2020	4828	Japan	Evolution
2019	4520	Japan	Evolution
2018	4136	Japan	Evolution
2017	3961	Japan	Evolution
2016	3795	Japan	Evolution
2015	3380	Japan	Evolution
2014	3341	Japan	Evolution
2013	3292	Japan	Evolution
2012	3152	Japan	Evolution
2011	2818	Japan	Evolution
2010	2851	Japan	Evolution
2009	2784	Japan	Evolution
2008	2666	Japan	Evolution
2007	2619	Japan	Evolution
2006	2471	Japan	Evolution
2005	2194	Japan	Evolution
2004	2212	Japan	Evolution
2003	2095	Japan	Evolution
2002	1856	Japan	Evolution
2001	1855	Japan	Evolution
2000	1768	Japan	Evolution
1999	1559	Japan	Evolution
1998	1483	Japan	Evolution
1997	1290	Japan	Evolution
1996	1067	Japan	Evolution
1995	958	Japan	Evolution
1994	876	Japan	Evolution
1993	784	Japan	Evolution
1992	703	Japan	Evolution
1991	625	Japan	Evolution
1990	239	Japan	Evolution
1989	188	Japan	Evolution
1988	186	Japan	Evolution
1987	176	Japan	Evolution
1986	178	Japan	Evolution
1985	166	Japan	Evolution
1984	152	Japan	Evolution
1983	111	Japan	Evolution
1982	119	Japan	Evolution
1981	126	Japan	Evolution
1980	101	Japan	Evolution
1979	96	Japan	Evolution
1978	65	Japan	Evolution
1977	63	Japan	Evolution
1976	42	Japan	Evolution
1975	28	Japan	Evolution
1974	19	Japan	Evolution
1973	16	Japan	Evolution
1972	2	Japan	Evolution
1971	1	Japan	Evolution
2026	582	Japan	All
2025	95394	Japan	All
2024	134365	Japan	All
2023	131314	Japan	All
2022	137433	Japan	All
2021	143389	Japan	All
2020	136085	Japan	All
2019	137750	Japan	All
2018	131754	Japan	All
2017	126671	Japan	All
2016	126401	Japan	All
2015	118312	Japan	All
2014	121370	Japan	All
2013	120256	Japan	All
2012	117954	Japan	All
2011	112470	Japan	All
2010	113958	Japan	All
2009	115170	Japan	All
2008	112499	Japan	All
2007	113418	Japan	All
2006	111011	Japan	All
2005	105005	Japan	All
2004	104105	Japan	All
2003	103067	Japan	All
2002	98170	Japan	All
2001	94939	Japan	All
2000	95824	Japan	All
1999	89209	Japan	All
1998	91065	Japan	All
1997	86427	Japan	All
1996	83019	Japan	All
1995	76074	Japan	All
1994	74041	Japan	All
1993	65193	Japan	All
1992	57011	Japan	All
1991	53511	Japan	All
1990	50499	Japan	All
1989	47170	Japan	All
1988	47413	Japan	All
1987	49696	Japan	All
1986	45280	Japan	All
1985	43398	Japan	All
1984	40528	Japan	All
1983	36949	Japan	All
1982	35454	Japan	All
1981	33404	Japan	All
1980	31441	Japan	All
1979	27854	Japan	All
1978	25791	Japan	All
1977	23533	Japan	All
1976	19910	Japan	All
1975	18547	Japan	All
1974	16988	Japan	All
1973	16063	Japan	All
1972	3058	Japan	All
1971	83	Japan	All
1970	133	Japan	All
1969	8	Japan	All
1968	12	Japan	All
1967	5	Japan	All
1966	6	Japan	All
1965	3	Japan	All
1964	2	Japan	All
1955	2	Japan	All
1952	1	Japan	All
1948	1	Japan	All
1944	6	Japan	All
1943	6	Japan	All
1942	3	Japan	All
1941	43	Japan	All
1940	40	Japan	All
1939	41	Japan	All
1938	49	Japan	All
1937	48	Japan	All
1936	45	Japan	All
1935	53	Japan	All
1934	39	Japan	All
1933	53	Japan	All
1932	45	Japan	All
1931	58	Japan	All
1930	60	Japan	All
1929	42	Japan	All
1928	38	Japan	All
1927	42	Japan	All
1926	34	Japan	All
1925	43	Japan	All
1924	45	Japan	All
1923	32	Japan	All
1922	21	Japan	All
1921	30	Japan	All
1920	20	Japan	All
1919	15	Japan	All
1918	26	Japan	All
1917	28	Japan	All
1916	19	Japan	All
1915	8	Japan	All
1914	7	Japan	All
1913	13	Japan	All
1912	9	Japan	All
1911	8	Japan	All
1910	4	Japan	All
1909	5	Japan	All
1908	6	Japan	All
1907	2	Japan	All
1906	1	Japan	All
1905	2	Japan	All
1904	4	Japan	All
1903	1	Japan	All
1902	31	Japan	All
1901	33	Japan	All
1900	75	Japan	All
2026	48	Germany	Evolution
2025	7085	Germany	Evolution
2024	9422	Germany	Evolution
2023	8888	Germany	Evolution
2022	9173	Germany	Evolution
2021	9798	Germany	Evolution
2020	9142	Germany	Evolution
2019	8932	Germany	Evolution
2018	8307	Germany	Evolution
2017	7702	Germany	Evolution
2016	7413	Germany	Evolution
2015	6984	Germany	Evolution
2014	6728	Germany	Evolution
2013	6245	Germany	Evolution
2012	6068	Germany	Evolution
2011	5654	Germany	Evolution
2010	5416	Germany	Evolution
2009	4853	Germany	Evolution
2008	4467	Germany	Evolution
2007	4268	Germany	Evolution
2006	3824	Germany	Evolution
2005	3643	Germany	Evolution
2004	3307	Germany	Evolution
2003	2992	Germany	Evolution
2002	2751	Germany	Evolution
2001	2749	Germany	Evolution
2000	2407	Germany	Evolution
1999	2379	Germany	Evolution
1998	2014	Germany	Evolution
1997	1873	Germany	Evolution
1996	1540	Germany	Evolution
1995	1373	Germany	Evolution
1994	1155	Germany	Evolution
1993	1017	Germany	Evolution
1992	886	Germany	Evolution
1991	838	Germany	Evolution
1990	302	Germany	Evolution
1989	78	Germany	Evolution
1988	48	Germany	Evolution
1987	43	Germany	Evolution
1986	61	Germany	Evolution
1985	39	Germany	Evolution
1984	41	Germany	Evolution
1983	22	Germany	Evolution
1982	28	Germany	Evolution
1981	25	Germany	Evolution
1980	20	Germany	Evolution
1979	15	Germany	Evolution
1978	16	Germany	Evolution
1977	17	Germany	Evolution
1976	16	Germany	Evolution
1975	4	Germany	Evolution
1974	26	Germany	Evolution
1973	28	Germany	Evolution
1972	3	Germany	Evolution
1966	1	Germany	Evolution
1925	1	Germany	Evolution
1908	1	Germany	Evolution
2026	662	Germany	All
2025	131412	Germany	All
2024	193314	Germany	All
2023	190161	Germany	All
2022	201460	Germany	All
2021	207319	Germany	All
2020	194365	Germany	All
2019	198284	Germany	All
2018	180815	Germany	All
2017	178009	Germany	All
2016	175215	Germany	All
2015	166744	Germany	All
2014	162571	Germany	All
2013	154853	Germany	All
2012	150305	Germany	All
2011	146508	Germany	All
2010	143322	Germany	All
2009	139253	Germany	All
2008	131097	Germany	All
2007	125420	Germany	All
2006	113132	Germany	All
2005	107840	Germany	All
2004	101923	Germany	All
2003	95802	Germany	All
2002	93484	Germany	All
2001	91582	Germany	All
2000	92369	Germany	All
1999	90242	Germany	All
1998	90673	Germany	All
1997	86945	Germany	All
1996	77662	Germany	All
1995	73931	Germany	All
1994	68813	Germany	All
1993	61299	Germany	All
1992	55324	Germany	All
1991	53956	Germany	All
1990	54068	Germany	All
1989	14294	Germany	All
1988	8841	Germany	All
1987	8449	Germany	All
1986	8192	Germany	All
1985	7355	Germany	All
1984	6263	Germany	All
1983	5385	Germany	All
1982	4429	Germany	All
1981	3821	Germany	All
1980	3544	Germany	All
1979	3034	Germany	All
1978	2859	Germany	All
1977	2891	Germany	All
1976	2002	Germany	All
1975	1216	Germany	All
1974	25744	Germany	All
1973	23309	Germany	All
1972	2777	Germany	All
1971	101	Germany	All
1970	199	Germany	All
1969	75	Germany	All
1968	52	Germany	All
1967	68	Germany	All
1966	46	Germany	All
1965	47	Germany	All
1964	28	Germany	All
1963	30	Germany	All
1962	38	Germany	All
1961	14	Germany	All
1960	24	Germany	All
1959	27	Germany	All
1958	16	Germany	All
1957	23	Germany	All
1956	16	Germany	All
1955	25	Germany	All
1954	28	Germany	All
1953	22	Germany	All
1952	36	Germany	All
1951	24	Germany	All
1950	15	Germany	All
1949	11	Germany	All
1948	17	Germany	All
1947	10	Germany	All
1946	6	Germany	All
1945	2	Germany	All
1944	12	Germany	All
1943	96	Germany	All
1942	72	Germany	All
1941	127	Germany	All
1940	42	Germany	All
1939	104	Germany	All
1938	91	Germany	All
1937	86	Germany	All
1936	66	Germany	All
1935	55	Germany	All
1934	42	Germany	All
1933	128	Germany	All
1932	143	Germany	All
1931	106	Germany	All
1930	169	Germany	All
1929	105	Germany	All
1928	141	Germany	All
1927	125	Germany	All
1926	89	Germany	All
1925	85	Germany	All
1924	59	Germany	All
1923	58	Germany	All
1922	49	Germany	All
1921	68	Germany	All
1920	46	Germany	All
1919	17	Germany	All
1918	15	Germany	All
1917	18	Germany	All
1916	26	Germany	All
1915	18	Germany	All
1914	74	Germany	All
1913	55	Germany	All
1912	59	Germany	All
1911	35	Germany	All
1910	37	Germany	All
1909	68	Germany	All
1908	62	Germany	All
1907	73	Germany	All
1906	69	Germany	All
1905	83	Germany	All
1904	29	Germany	All
1903	69	Germany	All
1902	32	Germany	All
1901	47	Germany	All
1900	97	Germany	All
2026	42	France	Evolution
2025	5650	France	Evolution
2024	7606	France	Evolution
2023	7575	France	Evolution
2022	8043	France	Evolution
2021	8217	France	Evolution
2020	8079	France	Evolution
2019	7838	France	Evolution
2018	7319	France	Evolution
2017	7196	France	Evolution
2016	7076	France	Evolution
2015	6765	France	Evolution
2014	6701	France	Evolution
2013	6324	France	Evolution
2012	6076	France	Evolution
2011	5656	France	Evolution
2010	5721	France	Evolution
2009	5255	France	Evolution
2008	4903	France	Evolution
2007	4658	France	Evolution
2006	4114	France	Evolution
2005	3729	France	Evolution
2004	3676	France	Evolution
2003	3420	France	Evolution
2002	3185	France	Evolution
2001	3015	France	Evolution
2000	2913	France	Evolution
1999	2838	France	Evolution
1998	2709	France	Evolution
1997	2482	France	Evolution
1996	2200	France	Evolution
1995	1947	France	Evolution
1994	1758	France	Evolution
1993	1643	France	Evolution
1992	1507	France	Evolution
1991	1360	France	Evolution
1990	573	France	Evolution
1989	474	France	Evolution
1988	501	France	Evolution
1987	479	France	Evolution
1986	482	France	Evolution
1985	466	France	Evolution
1984	440	France	Evolution
1983	369	France	Evolution
1982	360	France	Evolution
1981	363	France	Evolution
1980	361	France	Evolution
1979	345	France	Evolution
1978	302	France	Evolution
1977	372	France	Evolution
1976	259	France	Evolution
1975	188	France	Evolution
1974	183	France	Evolution
1973	145	France	Evolution
1972	26	France	Evolution
1971	2	France	Evolution
1966	2	France	Evolution
1938	1	France	Evolution
1937	1	France	Evolution
1901	2	France	Evolution
2026	642	France	All
2025	80502	France	All
2024	118420	France	All
2023	117426	France	All
2022	124149	France	All
2021	130049	France	All
2020	126037	France	All
2019	127596	France	All
2018	118827	France	All
2017	118492	France	All
2016	117907	France	All
2015	114307	France	All
2014	111541	France	All
2013	106958	France	All
2012	102161	France	All
2011	99470	France	All
2010	97428	France	All
2009	96339	France	All
2008	90719	France	All
2007	84150	France	All
2006	78108	France	All
2005	72488	France	All
2004	69356	France	All
2003	65958	France	All
2002	64026	France	All
2001	63098	France	All
2000	64368	France	All
1999	63260	France	All
1998	63831	France	All
1997	61039	France	All
1996	59082	France	All
1995	56885	France	All
1994	53420	France	All
1993	48166	France	All
1992	43402	France	All
1991	39846	France	All
1990	38449	France	All
1989	37190	France	All
1988	39344	France	All
1987	39548	France	All
1986	37953	France	All
1985	36397	France	All
1984	34324	France	All
1983	33358	France	All
1982	32236	France	All
1981	30033	France	All
1980	29986	France	All
1979	28235	France	All
1978	26468	France	All
1977	26982	France	All
1976	22449	France	All
1975	21367	France	All
1974	19986	France	All
1973	18417	France	All
1972	2720	France	All
1971	148	France	All
1970	119	France	All
1969	24	France	All
1968	21	France	All
1967	71	France	All
1966	79	France	All
1965	14	France	All
1964	2	France	All
1955	6	France	All
1954	4	France	All
1953	1	France	All
1952	1	France	All
1951	7	France	All
1950	5	France	All
1949	3	France	All
1946	1	France	All
1944	1	France	All
1943	10	France	All
1942	19	France	All
1941	10	France	All
1940	6	France	All
1939	16	France	All
1938	19	France	All
1937	19	France	All
1936	11	France	All
1935	18	France	All
1934	10	France	All
1933	11	France	All
1932	14	France	All
1931	12	France	All
1930	16	France	All
1929	10	France	All
1928	15	France	All
1927	11	France	All
1926	7	France	All
1925	13	France	All
1924	4	France	All
1923	2	France	All
1922	5	France	All
1921	4	France	All
1920	4	France	All
1919	12	France	All
1918	14	France	All
1917	14	France	All
1916	8	France	All
1915	3	France	All
1914	8	France	All
1913	3	France	All
1912	34	France	All
1911	2	France	All
1910	5	France	All
1909	2	France	All
1908	1	France	All
1907	10	France	All
1906	6	France	All
1905	6	France	All
1903	3	France	All
1902	2	France	All
1901	16	France	All
1900	58	France	All
